id,chapter,end_time,number,page,publication.id,resource.id,start_time,text,uri
f-e6797972-42,Chapter 3,,42.0,23.0,e6797972,HVT-0152,,I just couldn't...toys for myself,https://fortunoff.aviaryplatform.com/r/bc3st7dx0h
f-e6797972-43,Chapter 3,,43.0,24.0,e6797972,HVT-0134,,you mean tied...wouldn’t come out,https://fortunoff.aviaryplatform.com/r/k06ww77307
f-e6797972-44,Chapter 3,,44.0,25.0,e6797972,HVT-1185,,I thought if I don't die now...human being? We did it,https://fortunoff.aviaryplatform.com/r/h98z892h3m
f-e6797972-45,Chapter 3,,45.0,27.0,e6797972,HVT-0134,,"It's a very painful thing...again, to survive and meet",https://fortunoff.aviaryplatform.com/r/k06ww77307
f-e6797972-46,Chapter 3,,46.0,29.0,e6797972,HVT-0511,,resists his wife...thrall he cannot be released,https://fortunoff.aviaryplatform.com/r/th8bg2hm23
f-e6797972-47,Chapter 4,,47.0,2.0,e6797972,HVT-0082,,because I ate the same...was number two,https://fortunoff.aviaryplatform.com/r/v97zk55t5d
f-e6797972-48,Chapter 4,,48.0,3.0,e6797972,HVT-0299,,Save me! Save me!...ficing himself for anybody else,https://fortunoff.aviaryplatform.com/r/vd6nz80z9x
f-e6797972-49,Chapter 4,,49.0,7.0,e6797972,HVT-1123,,The book is different...you're trying to write,https://fortunoff.aviaryplatform.com/r/3t9d50fx0s
f-e6797972-50,Chapter 4,,50.0,8.0,e6797972,HVT-0107,,I saw Paradise...I saw Paradise,https://fortunoff.aviaryplatform.com/r/c53dz03438
f-e6797972-51,Chapter 4,,51.0,9.0,e6797972,HVT-0048,,very clear in my...it didn' work,https://fortunoff.aviaryplatform.com/r/8k74t6f583
f-e6797972-52,Chapter 4,,52.0,12.0,e6797972,HVT-0113,,I call my father...his own doubts,https://fortunoff.aviaryplatform.com/r/qj77s7j238
f-e6797972-53,Chapter 4,,53.0,13.0,e6797972,HVT-0934,,"these people who...they're all broken, Broken, Broken",https://fortunoff.aviaryplatform.com/r/251fj29b1q
f-e6797972-54,Chapter 4,,54.0,14.0,e6797972,HVT-0011,,I believe in...to save his life,https://fortunoff.aviaryplatform.com/r/ff3kw57m5q
f-e6797972-55,Chapter 4,,55.0,15.0,e6797972,HVT-0018,,Without shoes...I walked away,https://fortunoff.aviaryplatform.com/r/2z12n4zj1z
f-e6797972-56,Chapter 4,,56.0,16.0,e6797972,HVT-0002,,When you're hungry...But it happened,https://fortunoff.aviaryplatform.com/r/nv9959cg41
f-e6797972-57,Chapter 4,,57.0,17.0,e6797972,HVT-0285,,"No, no everything...But that was all make believe",https://fortunoff.aviaryplatform.com/r/5m6251fn12
f-e6797972-58,Chapter 4,,58.0,18.0,e6797972,HVT-0192,,Now I am talking...My brain boils,https://fortunoff.aviaryplatform.com/r/1g0ht2g806
f-e6797972-59,Chapter 4,,59.0,19.0,e6797972,HVT-0055,,he tells the story...attempted insurrection,https://fortunoff.aviaryplatform.com/r/hm52f7jz3r
f-e6797972-60,Chapter 4,,60.0,20.0,e6797972,HVT-0210,,all those years...beast or animal,https://fortunoff.aviaryplatform.com/r/g44hm52p4m
f-e6797972-61,Chapter 4,,61.0,21.0,e6797972,HVT-0158,,I couldn't in good...boxcars to Beren-Belsen,https://fortunoff.aviaryplatform.com/r/dn3zs2kd3m
f-e6797972-62,Chapter 4,,62.0,23.0,e6797972,HVT-0250,,what's the matter...with them for six weeks,https://fortunoff.aviaryplatform.com/r/pc2t43j75m
f-e6797972-63,Chapter 4,,63.0,24.0,e6797972,HVT-0927,,Tells of hiding...never sees them again,https://fortunoff.aviaryplatform.com/r/ww76t0h834
f-e6797972-64,Chapter 4,,64.0,25.0,e6797972,HVT-0205,,I don't remember his...never seen him,https://fortunoff.aviaryplatform.com/r/6d5p843v2r
f-e6797972-65,Chapter 4,,65.0,26.0,e6797972,HVT-0257,,I'm not going back...if you want to,https://fortunoff.aviaryplatform.com/r/x05x63bd53
f-e6797972-66,Chapter 4,,66.0,27.0,e6797972,HVT-0065,,We were weak...stared into space,https://fortunoff.aviaryplatform.com/r/jh3cz3299m
f-e6797972-67,Chapter 4,,67.0,28.0,e6797972,HVT-0845,,I sometimes myself...I need them now too,https://fortunoff.aviaryplatform.com/r/9882j6881d
f-e6797972-68,Chapter 4,,68.0,31.0,e6797972,HVT-0729,,How did my mother look...take her away,https://fortunoff.aviaryplatform.com/r/df6k06x35d
f-e6797972-69,Chapter 5,,69.0,6.0,e6797972,HVT-0804,,now really the truth...home and find out,https://fortunoff.aviaryplatform.com/r/kd1qf8jp4x
f-e6797972-70,Chapter 5,,70.0,10.0,e6797972,HVT-0026,,So there's no tomorrow...you're mistaken,https://fortunoff.aviaryplatform.com/r/nz80k26m8n
f-e6797972-71,Chapter 5,,71.0,11.0,e6797972,HVT-0838,,that my life...possessed by them,https://fortunoff.aviaryplatform.com/r/6d5p843v4c
f-e6797972-72,Chapter 5,,72.0,12.0,e6797972,HVT-0845,,My fate push me...I not help myself,https://fortunoff.aviaryplatform.com/r/9882j6881d
f-e6797972-73,Chapter 5,,73.0,14.0,e6797972,HVT-0756,,Your idealistic things...affect at all,https://fortunoff.aviaryplatform.com/r/jq0sq8qm8z
f-e6797972-74,Chapter 5,,74.0,15.0,e6797972,HVT-1095,,You now its's very easy...difficult thing to face,https://fortunoff.aviaryplatform.com/r/dv1cj87q28
f-e6797972-75,Chapter 5,,75.0,16.0,e6797972,HVT-0061,,...,https://fortunoff.aviaryplatform.com/r/s46h12vg63
f-e6797972-76,Chapter 5,,76.0,17.0,e6797972,HVT-0094,,I gave him instructions...Kommandos what to do,https://fortunoff.aviaryplatform.com/r/vd6nz80z8m
f-e6797972-77,Chapter 5,,77.0,19.0,e6797972,HVT-0094,,Then I said to myself...take any more chances,https://fortunoff.aviaryplatform.com/r/vd6nz80z8m
f-e6797972-78,Chapter 5,,78.0,20.0,e6797972,HVT-0738,,I told my little kid brother...I don't know what to do,https://fortunoff.aviaryplatform.com/r/x34mk65j70
f-e6797972-79,Chapter 5,,79.0,23.0,e6797972,HVT-0002,,I've got something always...I can ever forget that,https://fortunoff.aviaryplatform.com/r/nv9959cg41
f-e6797972-80,Chapter 5,,80.0,24.0,e6797972,HVT-0166,,And you're scared to come...I didn't feel over anything,https://fortunoff.aviaryplatform.com/r/542j678v9z
f-e6797972-81,Chapter 5,,81.0,25.0,e6797972,HVT-0938,,Only survivor...of W. and S. families,https://fortunoff.aviaryplatform.com/r/j96057d15t
f-e6797972-82,Chapter 5,,82.0,26.0,e6797972,HVT-0099,,Let's talk about classical Rome...And that's how he ended,https://fortunoff.aviaryplatform.com/r/xs5j960m47
f-e6797972-83,Chapter 5,,83.0,27.0,e6797972,HVT-0120,,I never believed I...That long,https://fortunoff.aviaryplatform.com/r/8g8ff3m15w
f-e6797972-84,Chapter 5,,84.0,28.0,e6797972,HVT-0640,,"My friends, my relatives,...use as an appendix",https://fortunoff.aviaryplatform.com/r/8w3804xn2p
f-e6797972-85,Chapter 5,,85.0,30.0,e6797972,HVT-1170,,...,https://fortunoff.aviaryplatform.com/r/445h98zc19
f-bae07563-86,,,,,bae07563,HVT-8041,,,https://fortunoff.aviaryplatform.com/r/2r3nv9989v
f-cea3e7b7-87,,,,,cea3e7b7,HVT-0934,,,https://fortunoff.aviaryplatform.com/r/251fj29b1q
f-cea3e7b7-88,,,,,cea3e7b7,HVT-1681,,,https://fortunoff.aviaryplatform.com/r/p55db7vz04
f-cea3e7b7-89,,,,,cea3e7b7,HVT-0206,,,https://fortunoff.aviaryplatform.com/r/kw57d2qf47
